COD_ETU,CNE,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
13013145,1311682892,7.55,AC,2,2015,12.025,V,1,2015,10,V,2,2015,13.6,V,1,2014,9,AC,2,2015,13.075,V,1,2014,10.875,V,2,2015,7.15,AC,2,2015,10,V,2,2015,10,V,2,2014,10.5,V,1,2014,11.5,V,1,2014,7,AC,2,2015,9.358,AC,2,2015,,,,,,,,
13013152,1311688152,10,V,2,2015,4.425,NRA,1,2015,10,V,2,2015,11.6,V,1,2014,10,V,2,2015,13.5,V,1,2014,9.921,NV,2,2015,6.6,NV,2,2015,12.6,V,1,2015,16.4,V,1,2014,14.4,V,1,2014,10,V,2,2014,10,V,2,2015,11.667,NV,2,2015,,,,,,,,
13013162,1311680486,7,NV,2,2015,,,,,3,NRA,1,2015,10.1,V,1,2015,,,,,13.5,V,1,2014,,,1,2015,2.925,NRA,1,2015,,,,,10,V,2,2014,,NV,2,2015,11.8,V,1,2015,8.3,NV,2,2015,,,1,2015,,,,,,,,
13013186,1311031403,,,,,,,,,,,,,0,NRA,1,2015,,,,,,,,,,,1,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015,,,,,,,,
13013187,1311689263,,,,,,,,,0.2,NRA,1,2015,9,NV,2,2015,1.25,NRA,1,2015,,,,,,,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,,,,,,,,,,,,,,,1,2015,,,,,,,,
13013225,1311687928,10,V,2,2015,4.175,NRA,1,2015,15.8,V,1,2015,12.3,V,1,2015,11.75,V,1,2015,10,V,2,2015,10.671,NV,2,2015,10.55,V,1,2015,15.2,V,1,2015,14.125,V,1,2015,16.5,V,1,2015,18.8,V,1,2015,16.8,V,1,2015,15.329,V,1,2015,,,,,,,,
13013290,1329691897,,,,,,,,,0,NRA,1,2015,0,NRA,1,2015,,,,,14.5,V,1,2014,,,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NV,2,2015,,,,,,,,
13013295,1311693373,9.1,AC,2,2015,10,V,2,2015,10,V,2,2015,14.7,V,1,2014,10,V,2,2015,15.05,V,1,2014,11.475,V,2,2015,7,AC,2,2015,10,V,1,2015,15.625,V,1,2015,13.25,V,1,2015,7.5,AC,2,2015,10,V,2,2015,10.563,V,2,2015,,,,,,,,
13013302,1310360239,,,,,,,,,,,,,0,NRA,1,2015,,,,,0,NRA,1,2015,,,1,2015,0,NRA,1,2015,,,,,0,NV,2,2015,0,NRA,1,2015,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
13013306,1210036859,,,,,,,,,,,,,0,NRA,1,2015,,,,,,,,,,,1,2015,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
13013319,1311680761,8.6,AC,2,2015,10.55,V,1,2015,10,V,1,2014,13,V,1,2014,7,AC,2,2015,14,V,1,2014,10.525,V,2,2015,8,AC,2,2015,12,V,1,2015,13.75,V,1,2015,13.8,V,1,2014,11.25,V,1,2014,8,AC,2,2015,11.133,V,2,2015,,,,,,,,
13013330,1311682881,8.5,AC,2,2015,10,V,2,2015,11.6,V,1,2015,12.4,V,1,2014,9.5,AC,2,2015,13.6,V,1,2014,10.933,V,2,2015,7,AC,2,2015,10,V,2,2015,13.125,V,1,2015,15.6,V,1,2014,10.75,V,1,2014,7,AC,2,2015,10.579,V,2,2015,,,,,,,,
13013345,1311692096,,,,,,,,,0.2,NRA,1,2015,,,,,,,,,0,NRA,1,2015,,,1,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015,,,,,,,,
13013370,1311322540,,,,,3.325,NRA,1,2015,3.4,NRA,1,2015,,,,,,,,,13,V,1,2014,,,1,2015,2.25,NRA,1,2015,,,,,10,V,2,2014,0,NRA,1,2015,10.8,V,1,2015,0,NRA,1,2015,,,1,2015,,,,,,,,
13013403,1311680732,,,,,,,,,,,,,0,NRA,1,2015,,,,,,,,,,,1,2015,,,,,,,,,,,,,,,,,0,NRA,1,2015,,,,,,,1,2015,,,,,,,,
13013449,1311227658,,,,,4.675,NRA,1,2015,,,,,,,,,,,,,12,V,1,2014,,,1,2015,2.025,NRA,1,2015,0,NRA,1,2015,11.7,V,1,2014,13,V,1,2015,10,V,2,2015,,,,,,,1,2015,,,,,,,,
13013500,1311227682,9.4,AC,2,2015,10,V,2,2015,10,V,2,2015,12.6,V,1,2014,10,V,2,2015,12.075,V,1,2014,10.679,V,2,2015,7,AC,2,2015,10,V,2,2015,13.2,V,1,2014,13,V,1,2015,10,V,1,2014,8,AC,2,2015,10.2,V,2,2015,,,,,,,,
13013515,1311688143,8.5,NV,2,2015,10.8,V,1,2015,7,NV,2,2015,9,NV,2,2015,10,V,2,2015,12.25,V,1,2014,9.592,NV,2,2015,6.225,NV,2,2015,,,,,11.5,V,1,2015,,,,,10.4,V,1,2015,,,,,,,1,2015,,,,,,,,
13013543,1229354084,11.35,V,1,2015,10,V,2,2015,7,AC,2,2015,10.6,V,1,2014,10,V,2,2015,14.05,V,1,2014,10.5,V,2,2015,3.575,NRA,1,2015,10,V,2,2015,14,V,1,2014,14.75,V,1,2015,11.5,V,1,2014,6.3,NV,2,2015,10.021,NV,2,2015,,,,,,,,
13013574,1311373939,8,AC,2,2015,10,V,2,2015,10.3,V,1,2015,13.9,V,1,2014,10,V,2,2015,12.5,V,1,2014,10.783,V,2,2015,7,AC,2,2015,10,V,2,2015,15.2,V,1,2014,16.8,V,1,2014,12.4,V,1,2015,10.1,V,1,2015,11.917,V,2,2015,,,,,,,,
13013573,1311688014,10,V,2,2015,10.05,V,1,2015,8,AC,2,2015,13.2,V,1,2014,7,AC,2,2015,15.925,V,1,2014,10.696,V,2,2015,7.95,AC,2,2015,10,V,2,2015,10,V,2,2014,16.2,V,1,2014,15.4,V,1,2015,7,AC,2,2015,11.092,V,2,2015,,,,,,,,
13013575,1311689114,11.8,V,1,2014,12.93,V,1,2014,7,AC,2,2014,17.4,V,1,2014,14.25,V,1,2014,14.875,V,1,2014,13.043,V,2,2014,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NRA,1,2015,0,NV,2,2015,,,,,,,,
13013605,1311694400,8,NV,2,2015,5.225,NV,2,2015,8.3,NV,2,2015,10,V,2,2015,8.75,NV,2,2015,10.45,V,1,2015,8.454,NV,2,2015,4.05,NRA,1,2015,,,,,16.75,V,1,2015,,,,,14.2,V,1,2015,,,,,,,1,2015,,,,,,,,
